Titel,Prompt,Kategorie,Systemprompt,Beispiel-Output
Problemlösung,"<p>Generiere 3-5 realistische Problemstellungen zu {Thema}. Führe mich anhand von Fragen durch den Lösungsprozess und zeige dabei verschiedene Lösungsansätze auf.</p>","Tutorials & Schritt-für-Schritt-Anleitungen",,
Szenario,"<p>Entwickle ein Rollenspiel-Szenario, in dem ich mein Wissen über {Thema} anwenden muss, um ein komplexes Problem zu lösen. Übernehme selbst eine Rolle im Szenario und weise mir die jeweils andere zu.</p>","Tutorials & Schritt-für-Schritt-Anleitungen",,
Lerntagebuch,"<p>Entwirf ein 'Lerntagebuch-Vorlage', die mir hilft, meinen täglichen Fortschritt in {Thema} zu tracken und zu reflektieren.</p>","Tutorials & Schritt-für-Schritt-Anleitungen",,
"Wissen an reale Probleme anpassen","Präsentiere mir eine spezifische Problemstellung aus dem Bereich {Thema}. Leite mich durch den Prozess, mein gelerntes Wissen auf dieses konkrete Probleme anzuwenden. Fordere mich dabei heraus, kreative und adaptierte Lösungsansätze zu entwickeln, die über das Standardwissen hinausgehen.      ","Tutorials & Schritt-für-Schritt-Anleitungen",,
"Probleme analysieren","Beschreibe eine konkrete Problemsituation aus dem Bereich {Thema}. Leite mich durch eine systematische Analyse, indem du Fragen stellst, die mir helfen, alle relevanten Aspekte, Stakeholder und Rahmenbedingungen zu identifizieren. Ermutige mich, über offensichtliche Symptome hinauszuschauen.      ","Tutorials & Schritt-für-Schritt-Anleitungen",,
"Escape Room","Entwirf ein 'Escape Room'-Szenario, bei dem die Lösung von Rätseln Wissen aus {Thema} erfordert.      ","Methoden- & Aktivitätsdesign",,
"Projektbasiertes Lernen","Entwickle ein praxisnahes Projekt zu {Thema}, das ich über 1-2 Wochen bearbeiten kann. Gib eine Schritt-für-Schritt-Anleitung undTipps zur Umsetzung.","Methoden- & Aktivitätsdesign",,
"Anwendungsszenario simulieren","Entwirf ein detailliertes Simulationsszenario für die Anwendung von {Thema}. Beschreibe die Ausgangssituation, definiere Rollen und Aufgaben, und integriere realistische Herausforderungen. Führe mich Schritt für Schritt durch die Simulation und gib Feedback zu meinen Entscheidungen.      ","Methoden- & Aktivitätsdesign",,
"Was wäre wenn Szenarien","Erstelle eine Serie von 'Was-wäre-wenn'-Szenarien, die unerwartete Wendungen in der Anwendung von {Thema} simulieren.      ","Methoden- & Aktivitätsdesign",,
Checkliste,"Erstelle eine 'Anpassungscheckliste' für {Thema}, die hilft, gelerntes Wissen systematisch auf neue Kontexte zu übertragen.      ","Methoden- & Aktivitätsdesign",,
